Keep your eyes open for our special Back to School items and save A LOT!,Keep your eyes open for our special Back to School items and save A LOT!
Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.,Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.
"Thank You,","Thank You,"
Shipping Amount,Shipping Amount
Thank you very much!,Thank you very much!
Your new password is: %s,Your new password is: %s
Tax Amount,Tax Amount
Grand Total,Grand Total
Magento Products Office,Magento Products Office
Discount,Discount
"You can change your password at any time by logging into the ""My Account"" section.","You can change your password at any time by logging into the ""My Account"" section."
New Password for %s,New Password for %s
Subtotal,Subtotal
Dear %s,Dear %s
