"equals or greater than","equals or greater than"
"is not","is not"
"is not one of","is not one of"
"is","is"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"TRUE","TRUE"
"Description: %s","Description: %s"
"contains","contains"
"to","to"
"equals or less than","equals or less than"
"greater than","greater than"
"does not contain","does not contain"
"Please choose an action to add...","Please choose an action to add..."
"Perform following actions","Perform following actions"
"by","by"
"is one of","is one of"
"ALL","ALL"
"FALSE","FALSE"
"less than","less than"
"ANY","ANY"
"Expire at: %s","Expire at: %s"
"Name: %s","Name: %s"
"Please choose a condition to add...","Please choose a condition to add..."
"Start at: %s","Start at: %s"
