"Residential","Residential"
"2nd Day Air AM","2nd Day Air AM"
"Next Afternoon","Next Afternoon"
"Station","Station"
"First-Class","First-Class"
"Home Delivery","Home Delivery"
"Rectangular","Rectangular"
"Large","Large"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"Invalid USPS XML code type: %s","Invalid USPS XML code type: %s"
"First Overnight","First Overnight"
"Next Day Air Saver","Next Day Air Saver"
"Ground Commercial","Ground Commercial"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"Ground Residential","Ground Residential"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"FedEx Tube","FedEx Tube"
"2 Day Freight","2 Day Freight"
"Intl Economy Freight","Intl Economy Freight"
"Flat","Flat"
"Customer Counter","Customer Counter"
"All Services","All Services"
"Priority Overnight","Priority Overnight"
"FedEx Envelope","FedEx Envelope"
"International Priority","International Priority"
"Letter Center","Letter Center"
"None","None"
"FedEx Box","FedEx Box"
"Media Mail","Media Mail"
"Invalid FedEx XML code type: %s","Invalid FedEx XML code type: %s"
"3 Day Freight","3 Day Freight"
"International First","International First"
"Worldwide Expedited","Worldwide Expedited"
"One Time Pickup","One Time Pickup"
"Yes","Yes"
"No","No"
"Request Courier","Request Courier"
"Express Mail","Express Mail"
"3 Day Select","3 Day Select"
"Regular Daily Pickup","Regular Daily Pickup"
"Priority Mail","Priority Mail"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Invalid UPS CGI code for type %s: %s","Invalid UPS CGI code for type %s: %s"
"Express","Express"
"Commercial","Commercial"
"Non-rectangular","Non-rectangular"
"Drop Box","Drop Box"
"Flat Rate Box","Flat Rate Box"
"Next Day Air Letter","Next Day Air Letter"
"Letter","Letter"
"Variable","Variable"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s"
"1 Day Freight","1 Day Freight"
"Canada Standard","Canada Standard"
"FedEx 10kg Box","FedEx 10kg Box"
"Your Packaging","Your Packaging"
"Flat Rate Envelope","Flat Rate Envelope"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Regular Pickup","Regular Pickup"
"Standard Overnight","Standard Overnight"
"Invalid FedEx XML code for type %s: %s","Invalid FedEx XML code for type %s: %s"
"FedEx Pak","FedEx Pak"
"Customer Packaging","Customer Packaging"
"Second Day Service","Second Day Service"
"Worldwide Express Letter","Worldwide Express Letter"
"Library","Library"
"2Day","2Day"
"Invalid UPS CGI code type: %s","Invalid UPS CGI code type: %s"
"Ground","Ground"
"Europe First Priority","Europe First Priority"
"Business Service Center","Business Service Center"
"On Call Air","On Call Air"
"2nd Day Air","2nd Day Air"
"Oversize","Oversize"
"UPS Express Box","UPS Express Box"
"Parcel","Parcel"
"2nd Day Air Letter","2nd Day Air Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Intl Priority Freight","Intl Priority Freight"
"Next Day Air Early AM","Next Day Air Early AM"
"Regular","Regular"
"Parcel Post","Parcel Post"
"Express Saver","Express Saver"
"FedEx 25kg Box","FedEx 25kg Box"
"Invalid USPS XML code for type %s: %s","Invalid USPS XML code for type %s: %s"
"International Economy","International Economy"
"Package","Package"
"Worldwide Express","Worldwide Express"
"Bound Printed Matter","Bound Printed Matter"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Tube","UPS Tube"
"UPS Letter Envelope","UPS Letter Envelope"
"Next Day Air","Next Day Air"
