"Bought from wishlists","Acheté à partir de la liste d'envies"
"Action","Action"
"Show for Current","Afficher pour le"
"Add to Compare","Ajouter au comparateur"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à ma liste d'envies"
"Year","Année"
"Items Ordered","Articles commandés"
"Items in Cart","Articles dans le panier"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Out of stock","Épuisé"
"Coupons","Bons de réduction"
"Customer","Client"
"Customers","Clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tags","Clients ayant proposé des tags"
"Customers that have wishlist: %s%","Clients ayant une liste d'envies : %s%"
"Customers by orders total","Clients par montant de commande"
"Customers by number of orders","Clients par nombre de commandes"
"Orders","Commandes"
"Review","Commentaire"
"Reviews","Commentaires"
"Product Reviews","Commentaires de produits"
"Reviews for %s","Commentaires pour %s"
"Applied Coupon","Coupons utilisés"
"Created at","Créé le"
"CSV","CSV"
"Detail","Détail"
"Tag Detail","Détail du tag"
"Tag ""%s"" details","Détails du tag ""%s"""
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Last Review","Dernier commentaire"
"Recently Compared Products","Derniers articles comparés"
"Recently Viewed Products","Derniers articles consultés"
"Your Recently Viewed","Derniers articles consultés"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"Invoiced","Facturé"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Guest","Invité"
"Day","Jour"
"Most Viewed","Les plus consultés"
"Most viewed","Les plus consultés"
"Link","Link"
"Wishlist Report","Liste d'envies"
"Wishlists","Liste d'envies"
"Wishlist vs. Regular Order","Liste d'envies vs. Commande normale"
"Shipping","Livraison"
"Bestsellers","Meilleures ventes"
"Updated at","Mis à jour le"
"Month","Mois"
"Tax Amount","Montant TVA"
"Total Tags","Nb total de tags"
"Name","Nom"
"Last Name","Nom de famille"
"Customer Name","Nom du client"
"Tag Name","Nom du tag"
"Product Name","Nom produit"
"Number Purchased","Nombre acheté"
"Number Added","Nombre ajouté"
"Number of Items","Nombre d'articles"
"Number of items bought from a wishlist: %s","Nombre d'articles achetés depuis une liste d'envies : %s"
"Number Of Uses","Nombre d'utilisations"
"Number Of Historical Uses","Nombre d'utilisations historiques"
"Number of Orders","Nombre de commandes"
"Number Of Reviews","Nombre de commentaires"
"Number of Reviews","Nombre de commentaires"
"Number of Views","Nombre de consultations"
"Number of wishlist conversions: %s","Nombre de conversion de listes d'envies : %s"
"Number of times wishlists have been shared (emailed): %s","Nombre de fois que la liste d'envies a été partagée (envoyée par mail) : %s"
"Number of wishlists: %s","Nombre de listes d'envies : %s"
"Number of New Accounts","Nombre de nouveaux comptes"
"Number of wishlist referrals: %s","Nombre de référents de la liste d'envies : %s"
"Number of times deleted","Nombre de suppressions"
"Number of Total Tags","Nombre de tags total"
"Number of Unique Tags","Nombre de tags uniques"
"Number Viewed","Nombre de vues"
"Number Fulfilled","Nombre réalisés"
"New Accounts","Nouveaux comptes"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of Refunded Orders","Number of Refunded Orders"
"Shopping Cart","Panier"
"Carts","Paniers"
"Abandoned carts","Paniers abandonnés"
"Popularity","Popularité"
"First Name","Prénom"
"Price","Prix"
"Products Sold","Products Sold"
"Products","Produits"
"Products Report","Produits"
"Products Reviews","Produits commentés"
"Products in carts","Produits dans des paniers"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Products Tags","Produits taggés"
"Purchases","Purchases"
"Quantity Ordered","Quantité commandée"
"Quantity of Items","Quantité d'articles"
"Stock Qty","Quantité en stock"
"Customers Report","Rapport clients"
"Poducts Report","Rapport produits"
"Reports","Rapports"
"Rate","Rate"
"Product Sku","Réf. produit"
"Results","Résultats"
"Refunded","Remboursé"
"Online Refunded","Remboursé en ligne"
"Offline Refunded","Remboursé hors ligne"
"Discounts","Remises"
"Revenue","Revenu"
"Submitted In","Soumis dans"
"Submitted On","Soumis le"
"Subtotal","Sous-total"
"Low stock","Stock bas"
"Tag","Tag"
"Customer Tags","Tags client"
"Product Tags","Tags de produits"
"Popular Tags","Tags populaires"
"Tags submited by %s","Tags soumis par %s"
"Tags submitted to %s","Tags soumis pour %s"
"Search Terms","Termes de recherche"
"Title","Titre"
"Total","Total"
"Total invoiced","Total facturé"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Shipping","Total livraison"
"Total Refunded","Total remboursé"
"Total refunded","Total remboursé"
"Carrier/Method","Transporteur/Mode"
"Tax","TVA"
"Tag use","Utilisation du tag"
"Sales","Ventes"
"Sales Report","Ventes"
"Visible In","Visible dans"
"Your Recently Compared","Vos dernières comparaisons"
"Hits","Vues"
