"To Fixed Value","To Fixed Value"
"Customer registered: %s","Customer registered: %s"
"Rule price","Rule price"
"Customer is new buyer: %s","Customer is new buyer: %s"
"By Fixed value","By Fixed value"
"Update the Product","Update the Product"
"To Percentage","To Percentage"
"Attribute Set","Attribute Set"
"Start at: %s","Start at: %s"
"By Percentage","By Percentage"
"Expire at: %s","Expire at: %s"
"Name: %s","Name: %s"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Product Attribute","Product Attribute"
"Conditions Combination","Conditions Combination"
"Description: %s","Description: %s"
