"Catalog Advanced Search","Catalog Advanced Search"
"All","All"
"Name","Name"
"List","List"
"Price","Price"
"Search results for: '%s'","Search results for: '%s'"
"Go to Home Page","Go to Home Page"
"Results","Results"
"Home","Home"
"Search","Search"
"Search results for '%s'","Search results for '%s'"
"Search Settings","Search Settings"
"Your search returns no results.","Your search returns no results."
"Search entire store here...","Search entire store here..."
"Required Fields","Required Fields"
"Search Site","Search Site"
