There was a problem with the un-subscription: %s,There was a problem with the un-subscription: %s
Cannot delete subscriber,Cannot delete subscriber
Cannot mark as received subscriber,Cannot mark as received subscriber
You have been successfully unsubscribed,You have been successfully unsubscribed
Duplicate of template code,Duplicate of template code
There was an error while saving your subscription,There was an error while saving your subscription
Your subscription was successfully confirmed,Your subscription was successfully confirmed
Cannot delete template,Cannot delete template
Confirmation request has been sent,Confirmation request has been sent
Form was filled incorrectly,Form was filled incorrectly
Thank you for your subscription,Thank you for your subscription
The subscription was successfully saved,The subscription was successfully saved
Invalid queue selected,Invalid queue selected
Invalid subscription ID,Invalid subscription ID
Invalid subscription confirmation code,Invalid subscription confirmation code
Invalid subscriber ID,Invalid subscriber ID
No subscribers selected,No subscribers selected
There was a problem with the subscription: %s,There was a problem with the subscription: %s
Cannot save your subscription: %s,Cannot save your subscription: %s
Newsletter,Newsletter
